START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,01:05 PM,01:05 PM,Cardinals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"Local TV: FS-F ----- Local Radio: 940 AM WINZ",02/23/18,02/23/18,04:05 PM,04:05 PM,FALSE,TRUE,02/23/18,12:05 PM,12:05 PM,FREE,BUSY
02/24/18,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"Local Radio: 940 AM WINZ- WAQI 710",02/24/18,02/24/18,04:05 PM,04:05 PM,FALSE,TRUE,02/24/18,12:05 PM,12:05 PM,FREE,BUSY
02/26/18,01:05 PM,01:05 PM,Astros at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"Local Radio: 940 AM WINZ",02/26/18,02/26/18,04:05 PM,04:05 PM,FALSE,TRUE,02/26/18,12:05 PM,12:05 PM,FREE,BUSY
02/28/18,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"Local Radio: 940 AM WINZ",02/28/18,02/28/18,04:05 PM,04:05 PM,FALSE,TRUE,02/28/18,12:05 PM,12:05 PM,FREE,BUSY
03/03/18,01:05 PM,01:05 PM,Mets at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"Local Radio: MLB.com- WAQI 710",03/03/18,03/03/18,04:05 PM,04:05 PM,FALSE,TRUE,03/03/18,12:05 PM,12:05 PM,FREE,BUSY
03/06/18,01:05 PM,01:05 PM,Cardinals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"Local Radio: 940 AM WINZ",03/06/18,03/06/18,04:05 PM,04:05 PM,FALSE,TRUE,03/06/18,12:05 PM,12:05 PM,FREE,BUSY
03/09/18,01:05 PM,01:05 PM,Red Sox at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"Local Radio: MLB.com",03/09/18,03/09/18,04:05 PM,04:05 PM,FALSE,TRUE,03/09/18,12:05 PM,12:05 PM,FREE,BUSY
03/11/18,01:05 PM,01:05 PM,Yankees at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"Local Radio: MLB.com- WAQI 710",03/11/18,03/11/18,04:05 PM,04:05 PM,FALSE,TRUE,03/11/18,12:05 PM,12:05 PM,FREE,BUSY
03/13/18,01:05 PM,01:05 PM,Cardinals at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"Local Radio: 940 AM WINZ",03/13/18,03/13/18,04:05 PM,04:05 PM,FALSE,TRUE,03/13/18,12:05 PM,12:05 PM,FREE,BUSY
03/14/18,01:05 PM,01:05 PM,Mets at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"Local Radio: 940 AM WINZ",03/14/18,03/14/18,04:05 PM,04:05 PM,FALSE,TRUE,03/14/18,12:05 PM,12:05 PM,FREE,BUSY
