START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,01:10 PM,03:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: KOA 850 AM/94.1 FM ",02/23/18,02/23/18,04:10 PM,06:10 PM,FALSE,TRUE,02/23/18,12:10 PM,02:10 PM,FREE,BUSY
02/27/18,01:10 PM,03:10 PM,Angels at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",02/27/18,02/27/18,04:10 PM,06:10 PM,FALSE,TRUE,02/27/18,12:10 PM,02:10 PM,FREE,BUSY
03/02/18,01:10 PM,03:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/02/18,03/02/18,04:10 PM,06:10 PM,FALSE,TRUE,03/02/18,12:10 PM,02:10 PM,FREE,BUSY
03/03/18,01:10 PM,03:10 PM,Brewers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: KOA 850 AM/94.1 FM ",03/03/18,03/03/18,04:10 PM,06:10 PM,FALSE,TRUE,03/03/18,12:10 PM,02:10 PM,FREE,BUSY
03/05/18,01:10 PM,03:10 PM,Cubs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/05/18,03/05/18,04:10 PM,06:10 PM,FALSE,TRUE,03/05/18,12:10 PM,02:10 PM,FREE,BUSY
03/07/18,01:10 PM,03:10 PM,Rangers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/07/18,03/07/18,04:10 PM,06:10 PM,FALSE,TRUE,03/07/18,12:10 PM,02:10 PM,FREE,BUSY
03/08/18,01:10 PM,03:10 PM,Reds at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/08/18,03/08/18,04:10 PM,06:10 PM,FALSE,TRUE,03/08/18,12:10 PM,02:10 PM,FREE,BUSY
03/09/18,01:10 PM,03:10 PM,Indians at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/09/18,03/09/18,04:10 PM,06:10 PM,FALSE,TRUE,03/09/18,12:10 PM,02:10 PM,FREE,BUSY
03/11/18,02:10 PM,04:10 PM,Dodgers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ",03/11/18,03/11/18,05:10 PM,07:10 PM,FALSE,TRUE,03/11/18,01:10 PM,03:10 PM,FREE,BUSY
03/13/18,02:10 PM,04:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: ATT SportsNet-RM",03/13/18,03/13/18,05:10 PM,07:10 PM,FALSE,TRUE,03/13/18,01:10 PM,03:10 PM,FREE,BUSY
03/15/18,02:10 PM,04:10 PM,Angels at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/15/18,03/15/18,05:10 PM,07:10 PM,FALSE,TRUE,03/15/18,01:10 PM,03:10 PM,FREE,BUSY
03/18/18,02:10 PM,04:10 PM,Giants at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: KOA 850 AM/94.1 FM ",03/18/18,03/18/18,05:10 PM,07:10 PM,FALSE,TRUE,03/18/18,01:10 PM,03:10 PM,FREE,BUSY
03/20/18,02:10 PM,04:10 PM,Brewers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/20/18,03/20/18,05:10 PM,07:10 PM,FALSE,TRUE,03/20/18,01:10 PM,03:10 PM,FREE,BUSY
03/23/18,02:10 PM,04:10 PM,Reds at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: ATT SportsNet-RM- MLBN",03/23/18,03/23/18,05:10 PM,07:10 PM,FALSE,TRUE,03/23/18,01:10 PM,03:10 PM,FREE,BUSY
03/25/18,02:10 PM,04:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ",03/25/18,03/25/18,05:10 PM,07:10 PM,FALSE,TRUE,03/25/18,01:10 PM,03:10 PM,FREE,BUSY
03/27/18,01:10 PM,03:10 PM,Mariners at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: ATT SportsNet-RM",03/27/18,03/27/18,04:10 PM,06:10 PM,FALSE,TRUE,03/27/18,12:10 PM,02:10 PM,FREE,BUSY
04/06/18,02:10 PM,04:10 PM,Braves at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM- MLBN (out-of-market only) ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/06/18,04/06/18,05:10 PM,07:10 PM,FALSE,TRUE,04/06/18,01:10 PM,03:10 PM,FREE,BUSY
04/07/18,06:10 PM,08:10 PM,Braves at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/07/18,04/07/18,09:10 PM,11:10 PM,FALSE,TRUE,04/07/18,05:10 PM,07:10 PM,FREE,BUSY
04/08/18,01:10 PM,03:10 PM,Braves at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/08/18,04/08/18,04:10 PM,06:10 PM,FALSE,TRUE,04/08/18,12:10 PM,02:10 PM,FREE,BUSY
04/09/18,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/09/18,04/09/18,09:40 PM,11:40 PM,FALSE,TRUE,04/09/18,05:40 PM,07:40 PM,FREE,BUSY
04/10/18,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/10/18,04/10/18,09:40 PM,11:40 PM,FALSE,TRUE,04/10/18,05:40 PM,07:40 PM,FREE,BUSY
04/11/18,01:10 PM,03:10 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/11/18,04/11/18,04:10 PM,06:10 PM,FALSE,TRUE,04/11/18,12:10 PM,02:10 PM,FREE,BUSY
04/20/18,06:40 PM,08:40 PM,Cubs at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/20/18,04/20/18,09:40 PM,11:40 PM,FALSE,TRUE,04/20/18,05:40 PM,07:40 PM,FREE,BUSY
04/21/18,06:10 PM,08:10 PM,Cubs at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/21/18,04/21/18,09:10 PM,11:10 PM,FALSE,TRUE,04/21/18,05:10 PM,07:10 PM,FREE,BUSY
04/22/18,01:10 PM,03:10 PM,Cubs at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/22/18,04/22/18,04:10 PM,06:10 PM,FALSE,TRUE,04/22/18,12:10 PM,02:10 PM,FREE,BUSY
04/23/18,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/23/18,04/23/18,09:40 PM,11:40 PM,FALSE,TRUE,04/23/18,05:40 PM,07:40 PM,FREE,BUSY
04/24/18,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/24/18,04/24/18,09:40 PM,11:40 PM,FALSE,TRUE,04/24/18,05:40 PM,07:40 PM,FREE,BUSY
04/25/18,01:10 PM,03:10 PM,Padres at Rockies,Coors Field - Denver,"Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",04/25/18,04/25/18,04:10 PM,06:10 PM,FALSE,TRUE,04/25/18,12:10 PM,02:10 PM,FREE,BUSY
05/08/18,06:40 PM,08:40 PM,Angels at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/08/18,05/08/18,09:40 PM,11:40 PM,FALSE,TRUE,05/08/18,05:40 PM,07:40 PM,FREE,BUSY
05/09/18,01:10 PM,03:10 PM,Angels at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/09/18,05/09/18,04:10 PM,06:10 PM,FALSE,TRUE,05/09/18,12:10 PM,02:10 PM,FREE,BUSY
05/10/18,06:40 PM,08:40 PM,Brewers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/10/18,05/10/18,09:40 PM,11:40 PM,FALSE,TRUE,05/10/18,05:40 PM,07:40 PM,FREE,BUSY
05/11/18,06:40 PM,08:40 PM,Brewers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/11/18,05/11/18,09:40 PM,11:40 PM,FALSE,TRUE,05/11/18,05:40 PM,07:40 PM,FREE,BUSY
05/12/18,06:10 PM,08:10 PM,Brewers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/12/18,05/12/18,09:10 PM,11:10 PM,FALSE,TRUE,05/12/18,05:10 PM,07:10 PM,FREE,BUSY
05/13/18,01:10 PM,03:10 PM,Brewers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/13/18,05/13/18,04:10 PM,06:10 PM,FALSE,TRUE,05/13/18,12:10 PM,02:10 PM,FREE,BUSY
05/25/18,06:40 PM,08:40 PM,Reds at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/25/18,05/25/18,09:40 PM,11:40 PM,FALSE,TRUE,05/25/18,05:40 PM,07:40 PM,FREE,BUSY
05/26/18,07:10 PM,09:10 PM,Reds at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/26/18,05/27/18,10:10 PM,12:10 AM,FALSE,TRUE,05/26/18,06:10 PM,08:10 PM,FREE,BUSY
05/27/18,01:10 PM,03:10 PM,Reds at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/27/18,05/27/18,04:10 PM,06:10 PM,FALSE,TRUE,05/27/18,12:10 PM,02:10 PM,FREE,BUSY
05/28/18,05:10 PM,07:10 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM- ESPN ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/28/18,05/28/18,08:10 PM,10:10 PM,FALSE,TRUE,05/28/18,04:10 PM,06:10 PM,FREE,BUSY
05/29/18,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/29/18,05/29/18,09:40 PM,11:40 PM,FALSE,TRUE,05/29/18,05:40 PM,07:40 PM,FREE,BUSY
05/30/18,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",05/30/18,05/30/18,09:40 PM,11:40 PM,FALSE,TRUE,05/30/18,05:40 PM,07:40 PM,FREE,BUSY
06/01/18,06:40 PM,08:40 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM- MLBN (out-of-market only) ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",06/01/18,06/01/18,09:40 PM,11:40 PM,FALSE,TRUE,06/01/18,05:40 PM,07:40 PM,FREE,BUSY
06/02/18,05:15 PM,07:15 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: FOX ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",06/02/18,06/02/18,08:15 PM,10:15 PM,FALSE,TRUE,06/02/18,04:15 PM,06:15 PM,FREE,BUSY
06/03/18,01:10 PM,03:10 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM - KNRV 1150",06/03/18,06/03/18,04:10 PM,06:10 PM,FALSE,TRUE,06/03/18,12:10 PM,02:10 PM,FREE,BUSY
