START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/19,01:10 PM,01:10 PM,Braves at Mets,First Data Field - Port St. Lucie,"Local TV: SNY- ESPN+ ----- Local Radio: WCBS 880",02/23/19,02/23/19,04:10 PM,04:10 PM,FALSE,TRUE,02/23/19,12:10 PM,12:10 PM,FREE,BUSY
02/24/19,01:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,"Local TV: WPIX ----- Local Radio: WCBS 880",02/24/19,02/24/19,04:10 PM,04:10 PM,FALSE,TRUE,02/24/19,12:10 PM,12:10 PM,FREE,BUSY
02/26/19,01:10 PM,01:10 PM,Tigers at Mets,First Data Field - Port St. Lucie,"Local TV: SNY- MLBN (out-of-market only)",02/26/19,02/26/19,04:10 PM,04:10 PM,FALSE,TRUE,02/26/19,12:10 PM,12:10 PM,FREE,BUSY
02/27/19,01:10 PM,01:10 PM,Marlins at Mets,First Data Field - Port St. Lucie,"Local TV: SNY- MLBN (out-of-market only)",02/27/19,02/27/19,04:10 PM,04:10 PM,FALSE,TRUE,02/27/19,12:10 PM,12:10 PM,FREE,BUSY
03/02/19,01:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,"Local TV: WPIX- MLBN (out-of-market only) ----- Local Radio: WCBS 880",03/02/19,03/02/19,04:10 PM,04:10 PM,FALSE,TRUE,03/02/19,12:10 PM,12:10 PM,FREE,BUSY
03/04/19,01:10 PM,01:10 PM,Red Sox at Mets,First Data Field - Port St. Lucie,"Local TV: SNY- MLBN (out-of-market only)",03/04/19,03/04/19,04:10 PM,04:10 PM,FALSE,TRUE,03/04/19,12:10 PM,12:10 PM,FREE,BUSY
03/08/19,01:10 PM,01:10 PM,Marlins at Mets,First Data Field - Port St. Lucie,"Local TV: SNY",03/08/19,03/08/19,04:10 PM,04:10 PM,FALSE,TRUE,03/08/19,12:10 PM,12:10 PM,FREE,BUSY
03/10/19,01:10 PM,01:10 PM,Cardinals at Mets,First Data Field - Port St. Lucie,"Local TV: WPIX ----- Local Radio: WCBS 880- ESPN Deportes",03/10/19,03/10/19,04:10 PM,04:10 PM,FALSE,TRUE,03/10/19,12:10 PM,12:10 PM,FREE,BUSY
03/13/19,01:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,"Local TV: SNY",03/13/19,03/13/19,04:10 PM,04:10 PM,FALSE,TRUE,03/13/19,12:10 PM,12:10 PM,FREE,BUSY
03/15/19,01:10 PM,01:10 PM,Nationals at Mets,First Data Field - Port St. Lucie,"Local TV: SNY",03/15/19,03/15/19,04:10 PM,04:10 PM,FALSE,TRUE,03/15/19,12:10 PM,12:10 PM,FREE,BUSY
