START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/18,02:05 PM,03:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",02/25/18,02/25/18,05:05 PM,06:05 PM,FALSE,TRUE,02/25/18,01:05 PM,02:05 PM,FREE,BUSY
02/26/18,02:05 PM,03:05 PM,Dodgers at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",02/26/18,02/26/18,05:05 PM,06:05 PM,FALSE,TRUE,02/26/18,01:05 PM,02:05 PM,FREE,BUSY
03/01/18,02:05 PM,03:05 PM,Padres at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/01/18,03/01/18,05:05 PM,06:05 PM,FALSE,TRUE,03/01/18,01:05 PM,02:05 PM,FREE,BUSY
03/04/18,02:05 PM,03:05 PM,Mariners at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",03/04/18,03/04/18,05:05 PM,06:05 PM,FALSE,TRUE,03/04/18,01:05 PM,02:05 PM,FREE,BUSY
03/05/18,02:05 PM,03:05 PM,Giants at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/05/18,03/05/18,05:05 PM,06:05 PM,FALSE,TRUE,03/05/18,01:05 PM,02:05 PM,FREE,BUSY
03/08/18,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/08/18,03/08/18,05:05 PM,06:05 PM,FALSE,TRUE,03/08/18,01:05 PM,02:05 PM,FREE,BUSY
03/10/18,02:05 PM,03:05 PM,Athletics at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",03/10/18,03/10/18,05:05 PM,06:05 PM,FALSE,TRUE,03/10/18,01:05 PM,02:05 PM,FREE,BUSY
03/15/18,03:05 PM,04:05 PM,Brewers at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/15/18,03/15/18,06:05 PM,07:05 PM,FALSE,TRUE,03/15/18,02:05 PM,03:05 PM,FREE,BUSY
03/16/18,03:05 PM,04:05 PM,Mariners at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/16/18,03/16/18,06:05 PM,07:05 PM,FALSE,TRUE,03/16/18,02:05 PM,03:05 PM,FREE,BUSY
03/17/18,08:05 PM,09:05 PM,Royals at Rangers,Surprise Stadium - Surprise,"Local TV: TXA-21 ----- Local Radio: 105.3 The Fan",03/17/18,03/18/18,11:05 PM,12:05 AM,FALSE,TRUE,03/17/18,07:05 PM,08:05 PM,FREE,BUSY
03/18/18,03:05 PM,04:05 PM,Angels at Rangers,Surprise Stadium - Surprise,"Local TV: TXA-21- MLBN ----- Local Radio: 105.3 The Fan",03/18/18,03/18/18,06:05 PM,07:05 PM,FALSE,TRUE,03/18/18,02:05 PM,03:05 PM,FREE,BUSY
03/19/18,08:05 PM,09:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,"Local TV: FSSW- MLBN ----- Local Radio: 105.3 The Fan",03/19/18,03/20/18,11:05 PM,12:05 AM,FALSE,TRUE,03/19/18,07:05 PM,08:05 PM,FREE,BUSY
03/21/18,03:05 PM,04:05 PM,Cubs at Rangers,Surprise Stadium - Surprise,"Local TV: MLBN- FSSW",03/21/18,03/21/18,06:05 PM,07:05 PM,FALSE,TRUE,03/21/18,02:05 PM,03:05 PM,FREE,BUSY
03/22/18,08:05 PM,09:05 PM,Reds at Rangers,Surprise Stadium - Surprise,"Local TV: TXA-21 ----- Local Radio: 105.3 The Fan",03/22/18,03/23/18,11:05 PM,12:05 AM,FALSE,TRUE,03/22/18,07:05 PM,08:05 PM,FREE,BUSY
03/24/18,02:05 PM,03:05 PM,Indians at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",03/24/18,03/24/18,05:05 PM,06:05 PM,FALSE,TRUE,03/24/18,01:05 PM,02:05 PM,FREE,BUSY
03/26/18,07:05 PM,08:05 PM,Reds at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",03/26/18,03/26/18,10:05 PM,11:05 PM,FALSE,TRUE,03/26/18,06:05 PM,07:05 PM,FREE,BUSY
03/29/18,02:35 PM,03:35 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW- ESPN ----- Local Radio: 105.3 The Fan- KFLC 1270",03/29/18,03/29/18,05:35 PM,06:35 PM,FALSE,TRUE,03/29/18,01:35 PM,02:35 PM,FREE,BUSY
03/30/18,07:05 PM,08:05 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",03/30/18,03/30/18,10:05 PM,11:05 PM,FALSE,TRUE,03/30/18,06:05 PM,07:05 PM,FREE,BUSY
03/31/18,03:05 PM,04:05 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW- FS1- FOX Deportes ----- Local Radio: 105.3 The Fan- KFLC 1270",03/31/18,03/31/18,06:05 PM,07:05 PM,FALSE,TRUE,03/31/18,02:05 PM,03:05 PM,FREE,BUSY
