START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/24/19,12:10 PM,03:10 PM,White Sox at Padres,Peoria Stadium - Peoria,"Local Radio: KWFN 97.3",02/24/19,02/24/19,03:10 PM,06:10 PM,FALSE,TRUE,02/24/19,11:10 AM,02:10 PM,FREE,BUSY
02/27/19,12:10 PM,03:10 PM,D-backs at Padres,Peoria Stadium - Peoria,"Local Radio: MLB.com",02/27/19,02/27/19,03:10 PM,06:10 PM,FALSE,TRUE,02/27/19,11:10 AM,02:10 PM,FREE,BUSY
03/02/19,12:10 PM,03:10 PM,Giants at Padres,Peoria Stadium - Peoria,"Local TV: FSSD ----- Local Radio: KWFN 97.3",03/02/19,03/02/19,03:10 PM,06:10 PM,FALSE,TRUE,03/02/19,11:10 AM,02:10 PM,FREE,BUSY
03/04/19,12:10 PM,03:10 PM,Indians at Padres,Peoria Stadium - Peoria,"Local TV: FSSD ----- Local Radio: KWFN 97.3",03/04/19,03/04/19,03:10 PM,06:10 PM,FALSE,TRUE,03/04/19,11:10 AM,02:10 PM,FREE,BUSY
03/05/19,12:10 PM,03:10 PM,Mariners at Padres,Peoria Stadium - Peoria,"Local TV: FSSD ----- Local Radio: KWFN 97.3",03/05/19,03/05/19,03:10 PM,06:10 PM,FALSE,TRUE,03/05/19,11:10 AM,02:10 PM,FREE,BUSY
03/07/19,12:10 PM,03:10 PM,Rangers at Padres,Peoria Stadium - Peoria,"Local TV: FSSD",03/07/19,03/07/19,03:10 PM,06:10 PM,FALSE,TRUE,03/07/19,11:10 AM,02:10 PM,FREE,BUSY
03/09/19,05:40 PM,08:40 PM,Reds at Padres,Peoria Stadium - Peoria,"Local TV: FSSD",03/09/19,03/09/19,08:40 PM,11:40 PM,FALSE,TRUE,03/09/19,04:40 PM,07:40 PM,FREE,BUSY
03/14/19,06:40 PM,09:40 PM,Dodgers at Padres,Peoria Stadium - Peoria,"Local Radio: MLB.com",03/14/19,03/15/19,09:40 PM,12:40 AM,FALSE,TRUE,03/14/19,05:40 PM,08:40 PM,FREE,BUSY
03/16/19,01:10 PM,04:10 PM,Royals at Padres,Peoria Stadium - Peoria,"Local TV: FSSD ----- Local Radio: KWFN 97.3",03/16/19,03/16/19,04:10 PM,07:10 PM,FALSE,TRUE,03/16/19,12:10 PM,03:10 PM,FREE,BUSY
03/17/19,01:10 PM,04:10 PM,Angels at Padres,Peoria Stadium - Peoria,"Local TV: FSSD ----- Local Radio: KWFN 97.3",03/17/19,03/17/19,04:10 PM,07:10 PM,FALSE,TRUE,03/17/19,12:10 PM,03:10 PM,FREE,BUSY
03/20/19,01:10 PM,04:10 PM,Brewers at Padres,Peoria Stadium - Peoria,"Local TV: FSSD",03/20/19,03/20/19,04:10 PM,07:10 PM,FALSE,TRUE,03/20/19,12:10 PM,03:10 PM,FREE,BUSY
03/23/19,01:10 PM,04:10 PM,Angels at Padres,Peoria Stadium - Peoria,"Local TV: FSSD ----- Local Radio: KWFN 97.3",03/23/19,03/23/19,04:10 PM,07:10 PM,FALSE,TRUE,03/23/19,12:10 PM,03:10 PM,FREE,BUSY
03/24/19,12:10 PM,03:10 PM,Cubs at Padres,Peoria Stadium - Peoria,"Local TV: FSSD ----- Local Radio: KWFN 97.3",03/24/19,03/24/19,03:10 PM,06:10 PM,FALSE,TRUE,03/24/19,11:10 AM,02:10 PM,FREE,BUSY
03/28/19,01:10 PM,04:10 PM,Giants at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",03/28/19,03/28/19,04:10 PM,07:10 PM,FALSE,TRUE,03/28/19,12:10 PM,03:10 PM,FREE,BUSY
03/29/19,07:10 PM,10:10 PM,Giants at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",03/29/19,03/30/19,10:10 PM,01:10 AM,FALSE,TRUE,03/29/19,06:10 PM,09:10 PM,FREE,BUSY
03/30/19,05:40 PM,08:40 PM,Giants at Padres,Petco Park - San Diego,"Local TV: FSSD- FS1- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",03/30/19,03/30/19,08:40 PM,11:40 PM,FALSE,TRUE,03/30/19,04:40 PM,07:40 PM,FREE,BUSY
03/31/19,01:10 PM,04:10 PM,Giants at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",03/31/19,03/31/19,04:10 PM,07:10 PM,FALSE,TRUE,03/31/19,12:10 PM,03:10 PM,FREE,BUSY
04/01/19,07:10 PM,10:10 PM,D-backs at Padres,Petco Park - San Diego,"Local TV: FSSD ----- Local Radio: KWFN 97.3- XEMO 860",04/01/19,04/02/19,10:10 PM,01:10 AM,FALSE,TRUE,04/01/19,06:10 PM,09:10 PM,FREE,BUSY
04/02/19,07:10 PM,10:10 PM,D-backs at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",04/02/19,04/03/19,10:10 PM,01:10 AM,FALSE,TRUE,04/02/19,06:10 PM,09:10 PM,FREE,BUSY
04/03/19,12:40 PM,03:40 PM,D-backs at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",04/03/19,04/03/19,03:40 PM,06:40 PM,FALSE,TRUE,04/03/19,11:40 AM,02:40 PM,FREE,BUSY
04/15/19,07:10 PM,10:10 PM,Rockies at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",04/15/19,04/16/19,10:10 PM,01:10 AM,FALSE,TRUE,04/15/19,06:10 PM,09:10 PM,FREE,BUSY
04/16/19,06:10 PM,09:10 PM,Rockies at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",04/16/19,04/17/19,09:10 PM,12:10 AM,FALSE,TRUE,04/16/19,05:10 PM,08:10 PM,FREE,BUSY
04/18/19,07:10 PM,10:10 PM,Reds at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",04/18/19,04/19/19,10:10 PM,01:10 AM,FALSE,TRUE,04/18/19,06:10 PM,09:10 PM,FREE,BUSY
04/19/19,07:10 PM,10:10 PM,Reds at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",04/19/19,04/20/19,10:10 PM,01:10 AM,FALSE,TRUE,04/19/19,06:10 PM,09:10 PM,FREE,BUSY
04/20/19,05:40 PM,08:40 PM,Reds at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",04/20/19,04/20/19,08:40 PM,11:40 PM,FALSE,TRUE,04/20/19,04:40 PM,07:40 PM,FREE,BUSY
04/21/19,01:10 PM,04:10 PM,Reds at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",04/21/19,04/21/19,04:10 PM,07:10 PM,FALSE,TRUE,04/21/19,12:10 PM,03:10 PM,FREE,BUSY
04/23/19,07:10 PM,10:10 PM,Mariners at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",04/23/19,04/24/19,10:10 PM,01:10 AM,FALSE,TRUE,04/23/19,06:10 PM,09:10 PM,FREE,BUSY
04/24/19,12:40 PM,03:40 PM,Mariners at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",04/24/19,04/24/19,03:40 PM,06:40 PM,FALSE,TRUE,04/24/19,11:40 AM,02:40 PM,FREE,BUSY
05/03/19,07:10 PM,10:10 PM,Dodgers at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",05/03/19,05/04/19,10:10 PM,01:10 AM,FALSE,TRUE,05/03/19,06:10 PM,09:10 PM,FREE,BUSY
05/04/19,05:40 PM,08:40 PM,Dodgers at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",05/04/19,05/04/19,08:40 PM,11:40 PM,FALSE,TRUE,05/04/19,04:40 PM,07:40 PM,FREE,BUSY
05/05/19,01:10 PM,04:10 PM,Dodgers at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",05/05/19,05/05/19,04:10 PM,07:10 PM,FALSE,TRUE,05/05/19,12:10 PM,03:10 PM,FREE,BUSY
05/06/19,07:10 PM,10:10 PM,Mets at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",05/06/19,05/07/19,10:10 PM,01:10 AM,FALSE,TRUE,05/06/19,06:10 PM,09:10 PM,FREE,BUSY
05/07/19,07:10 PM,10:10 PM,Mets at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",05/07/19,05/08/19,10:10 PM,01:10 AM,FALSE,TRUE,05/07/19,06:10 PM,09:10 PM,FREE,BUSY
05/08/19,12:40 PM,03:40 PM,Mets at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",05/08/19,05/08/19,03:40 PM,06:40 PM,FALSE,TRUE,05/08/19,11:40 AM,02:40 PM,FREE,BUSY
05/16/19,07:10 PM,10:10 PM,Pirates at Padres,Petco Park - San Diego,"Local TV: FSSD- MLBN (out-of-market only)- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",05/16/19,05/17/19,10:10 PM,01:10 AM,FALSE,TRUE,05/16/19,06:10 PM,09:10 PM,FREE,BUSY
05/17/19,07:10 PM,10:10 PM,Pirates at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",05/17/19,05/18/19,10:10 PM,01:10 AM,FALSE,TRUE,05/17/19,06:10 PM,09:10 PM,FREE,BUSY
05/18/19,05:40 PM,08:40 PM,Pirates at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",05/18/19,05/18/19,08:40 PM,11:40 PM,FALSE,TRUE,05/18/19,04:40 PM,07:40 PM,FREE,BUSY
05/19/19,01:10 PM,04:10 PM,Pirates at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KWFN 97.3- XEMO 860",05/19/19,05/19/19,04:10 PM,07:10 PM,FALSE,TRUE,05/19/19,12:10 PM,03:10 PM,FREE,BUSY
