START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/22/19,12:10 PM,03:10 PM,Athletics at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN",02/22/19,02/22/19,03:10 PM,06:10 PM,FALSE,TRUE,02/22/19,11:10 AM,02:10 PM,FREE,BUSY
02/23/19,12:10 PM,03:10 PM,Padres at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN",02/23/19,02/23/19,03:10 PM,06:10 PM,FALSE,TRUE,02/23/19,11:10 AM,02:10 PM,FREE,BUSY
02/25/19,12:10 PM,03:10 PM,Reds at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN (delay)",02/25/19,02/25/19,03:10 PM,06:10 PM,FALSE,TRUE,02/25/19,11:10 AM,02:10 PM,FREE,BUSY
02/26/19,12:10 PM,03:10 PM,Rangers at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN (delay)",02/26/19,02/26/19,03:10 PM,06:10 PM,FALSE,TRUE,02/26/19,11:10 AM,02:10 PM,FREE,BUSY
02/28/19,12:10 PM,03:10 PM,White Sox at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN",02/28/19,02/28/19,03:10 PM,06:10 PM,FALSE,TRUE,02/28/19,11:10 AM,02:10 PM,FREE,BUSY
03/01/19,12:10 PM,03:10 PM,Brewers at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN",03/01/19,03/01/19,03:10 PM,06:10 PM,FALSE,TRUE,03/01/19,11:10 AM,02:10 PM,FREE,BUSY
03/03/19,12:10 PM,03:10 PM,D-backs at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN",03/03/19,03/03/19,03:10 PM,06:10 PM,FALSE,TRUE,03/03/19,11:10 AM,02:10 PM,FREE,BUSY
03/06/19,05:40 PM,08:40 PM,Athletics at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN",03/06/19,03/06/19,08:40 PM,11:40 PM,FALSE,TRUE,03/06/19,04:40 PM,07:40 PM,FREE,BUSY
03/08/19,05:40 PM,08:40 PM,Cubs at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW- MLBN (out-of-market only) ----- Local Radio: 710 ESPN",03/08/19,03/08/19,08:40 PM,11:40 PM,FALSE,TRUE,03/08/19,04:40 PM,07:40 PM,FREE,BUSY
03/10/19,01:10 PM,04:10 PM,Indians at Mariners,Peoria Stadium - Peoria,"Local TV: ROOTNW ----- Local Radio: 710 ESPN",03/10/19,03/10/19,04:10 PM,07:10 PM,FALSE,TRUE,03/10/19,12:10 PM,03:10 PM,FREE,BUSY
