START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/18,02:05 PM,03:05 PM,Reds at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com ----- Local Radio: WGN 720",02/25/18,02/25/18,05:05 PM,06:05 PM,FALSE,TRUE,02/25/18,01:05 PM,02:05 PM,FREE,BUSY
02/26/18,02:05 PM,03:05 PM,Athletics at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com",02/26/18,02/26/18,05:05 PM,06:05 PM,FALSE,TRUE,02/26/18,01:05 PM,02:05 PM,FREE,BUSY
02/28/18,02:05 PM,03:05 PM,Rangers at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com",02/28/18,02/28/18,05:05 PM,06:05 PM,FALSE,TRUE,02/28/18,01:05 PM,02:05 PM,FREE,BUSY
03/02/18,02:05 PM,03:05 PM,Dodgers at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com",03/02/18,03/02/18,05:05 PM,06:05 PM,FALSE,TRUE,03/02/18,01:05 PM,02:05 PM,FREE,BUSY
03/04/18,02:05 PM,03:05 PM,Padres at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com",03/04/18,03/04/18,05:05 PM,06:05 PM,FALSE,TRUE,03/04/18,01:05 PM,02:05 PM,FREE,BUSY
03/06/18,02:05 PM,03:05 PM,Brewers at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com ----- Local Radio: WGN 720",03/06/18,03/06/18,05:05 PM,06:05 PM,FALSE,TRUE,03/06/18,01:05 PM,02:05 PM,FREE,BUSY
03/07/18,02:05 PM,03:05 PM,Reds at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com",03/07/18,03/07/18,05:05 PM,06:05 PM,FALSE,TRUE,03/07/18,01:05 PM,02:05 PM,FREE,BUSY
03/08/18,02:05 PM,03:05 PM,Royals at White Sox,Camelback Ranch - Glendale,"",03/08/18,03/08/18,05:05 PM,06:05 PM,FALSE,TRUE,03/08/18,01:05 PM,02:05 PM,FREE,BUSY
03/11/18,03:05 PM,04:05 PM,D-backs at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com ----- Local Radio: WGN 720",03/11/18,03/11/18,06:05 PM,07:05 PM,FALSE,TRUE,03/11/18,02:05 PM,03:05 PM,FREE,BUSY
03/16/18,03:05 PM,04:05 PM,Cubs at White Sox,Camelback Ranch - Glendale,"Local TV: NBC Sports Chicago- MLBN",03/16/18,03/16/18,06:05 PM,07:05 PM,FALSE,TRUE,03/16/18,02:05 PM,03:05 PM,FREE,BUSY
03/17/18,03:05 PM,04:05 PM,Dodgers at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com- MLBN",03/17/18,03/17/18,06:05 PM,07:05 PM,FALSE,TRUE,03/17/18,02:05 PM,03:05 PM,FREE,BUSY
03/20/18,03:05 PM,04:05 PM,Rangers at White Sox,Camelback Ranch - Glendale,"Local TV: NBC Sports Chicago- MLBN",03/20/18,03/20/18,06:05 PM,07:05 PM,FALSE,TRUE,03/20/18,02:05 PM,03:05 PM,FREE,BUSY
03/21/18,03:05 PM,04:05 PM,Padres at White Sox,Camelback Ranch - Glendale,"Local TV: NBC Sports Chicago",03/21/18,03/21/18,06:05 PM,07:05 PM,FALSE,TRUE,03/21/18,02:05 PM,03:05 PM,FREE,BUSY
03/23/18,03:05 PM,04:05 PM,Mariners at White Sox,Camelback Ranch - Glendale,"Local TV: MLB.com ----- Local Radio: WGN 720",03/23/18,03/23/18,06:05 PM,07:05 PM,FALSE,TRUE,03/23/18,02:05 PM,03:05 PM,FREE,BUSY
03/25/18,02:05 PM,03:05 PM,Brewers at White Sox,Camelback Ranch - Glendale,"Local TV: NBC Sports Chicago ----- Local Radio: WGN 720",03/25/18,03/25/18,05:05 PM,06:05 PM,FALSE,TRUE,03/25/18,01:05 PM,02:05 PM,FREE,BUSY
04/05/18,03:10 PM,04:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WGN 720- WRTO 1200",04/05/18,04/05/18,06:10 PM,07:10 PM,FALSE,TRUE,04/05/18,02:10 PM,03:10 PM,FREE,BUSY
04/07/18,01:10 PM,02:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: WGN ----- Local Radio: WGN 720- WRTO 1200",04/07/18,04/07/18,04:10 PM,05:10 PM,FALSE,TRUE,04/07/18,12:10 PM,01:10 PM,FREE,BUSY
04/08/18,01:10 PM,02:10 PM,Tigers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WGN 720- WRTO 1200",04/08/18,04/08/18,04:10 PM,05:10 PM,FALSE,TRUE,04/08/18,12:10 PM,01:10 PM,FREE,BUSY
04/09/18,01:10 PM,02:10 PM,Rays at White Sox,Guaranteed Rate Field - Chicago,"Local TV: WGN ----- Local Radio: WGN 720- WRTO 1200",04/09/18,04/09/18,04:10 PM,05:10 PM,FALSE,TRUE,04/09/18,12:10 PM,01:10 PM,FREE,BUSY
04/10/18,01:10 PM,02:10 PM,Rays at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WGN 720- WRTO 1200",04/10/18,04/10/18,04:10 PM,05:10 PM,FALSE,TRUE,04/10/18,12:10 PM,01:10 PM,FREE,BUSY
04/11/18,01:10 PM,02:10 PM,Rays at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WGN 720- WRTO 1200",04/11/18,04/11/18,04:10 PM,05:10 PM,FALSE,TRUE,04/11/18,12:10 PM,01:10 PM,FREE,BUSY
04/20/18,07:10 PM,08:10 PM,Astros at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WGN 720- WRTO 1200",04/20/18,04/20/18,10:10 PM,11:10 PM,FALSE,TRUE,04/20/18,06:10 PM,07:10 PM,FREE,BUSY
04/21/18,06:10 PM,07:10 PM,Astros at White Sox,Guaranteed Rate Field - Chicago,"Local TV: WGN ----- Local Radio: WGN 720- WRTO 1200",04/21/18,04/21/18,09:10 PM,10:10 PM,FALSE,TRUE,04/21/18,05:10 PM,06:10 PM,FREE,BUSY
04/22/18,01:10 PM,02:10 PM,Astros at White Sox,Guaranteed Rate Field - Chicago,"Local TV: WGN ----- Local Radio: WGN 720- WRTO 1200",04/22/18,04/22/18,04:10 PM,05:10 PM,FALSE,TRUE,04/22/18,12:10 PM,01:10 PM,FREE,BUSY
04/23/18,07:10 PM,08:10 PM,Mariners at White Sox,Guaranteed Rate Field - Chicago,"Local TV: NBCSCH ----- Local Radio: WGN 720- WRTO 1200",04/23/18,04/23/18,10:10 PM,11:10 PM,FALSE,TRUE,04/23/18,06:10 PM,07:10 PM,FREE,BUSY
